filename	sha256	bytes	real_type	source_url
ni-assembly-election-2022-result-sheet-strangford-xls.xlsx	4d8ab272e617022b6161ec57565d9ce4600e14a46920ae7ed10abb694d901e21	47996	Microsoft Excel 2007+	https://www.eoni.org.uk/media/00jdc0l2/ni-assembly-election-2022-result-sheet-strangford-xls.xlsx
ni-assembly-election-results-upper-bann.xlsx	a4b6bdc5b73a5c0a2d15f6400e665d7afa2bfe846c488a6791b5d959ff6740c6	51270	Microsoft Excel 2007+	https://www.eoni.org.uk/media/0trd4nsy/ni-assembly-election-results-upper-bann.xlsx
ni-assembly-election-2022-result-sheet-west-tyrone-xls.xlsx	e3eee22f6f24b123d9f5be38b6b6274f617517004e7405528f1facd9b7f44d83	49281	Microsoft Excel 2007+	https://www.eoni.org.uk/media/1q3b5g2u/ni-assembly-election-2022-result-sheet-west-tyrone-xls.xlsx
ni-assembly-election-2022-result-sheet-belfast-north-xls.xlsx	a7a014564e94552e5058837924eca7417ffb3ed97ce5d1f3743a5855f2015446	55984	Microsoft Excel 2007+	https://www.eoni.org.uk/media/bqrbtk4a/ni-assembly-election-2022-result-sheet-belfast-north-xls.xlsx
ni-assembly-election-results-north-antrim.xlsx	6615f977b470bfb7c84031505fc3d7bdc29787ae6463753f06d17fba9af0eb24	51155	Microsoft Excel 2007+	https://www.eoni.org.uk/media/bsfixocn/ni-assembly-election-results-north-antrim.xlsx
ni-assembly-election-results-south-down.xlsx	f3106c9b4db60fea827204f36d76017f395ca4d3536f96fa0884b3786295f173	48830	Microsoft Excel 2007+	https://www.eoni.org.uk/media/chabp3os/ni-assembly-election-results-south-down.xlsx
ni-assembly-election-2022-result-sheet-east-londonderry.xlsx	ba0c9b5bc1361b120b65da3af2f3c5dce96042d82b602dc49fdd18251c70f80b	53720	Microsoft Excel 2007+	https://www.eoni.org.uk/media/doll4nhx/ni-assembly-election-2022-result-sheet-east-londonderry.xlsx
ni-assembly-election-2022-result-sheet-newry-and-armagh.xlsx	d3f3dbeb0c5ca7f900ee74bc274426776dbe79b831a8b5f223b64eca6cf57431	45982	Microsoft Excel 2007+	https://www.eoni.org.uk/media/g5fdrfyd/ni-assembly-election-2022-result-sheet-newry-and-armagh.xlsx
ni-assembly-election-results-belfast-west.xlsx	8e06ef607d25500e8a14c61ec27d4bf1e6a0456488390807441b3b77b279ffa9	59647	Microsoft Excel 2007+	https://www.eoni.org.uk/media/huglkl0f/ni-assembly-election-results-belfast-west.xlsx
ni-assembly-election-2022-result-sheet-lagan-valley-xls.xlsx	0177f6694653f57058ac084e9402b788bf7a5f1b3c52e49528968d68db9de3cc	49389	Microsoft Excel 2007+	https://www.eoni.org.uk/media/iv2fdbsu/ni-assembly-election-2022-result-sheet-lagan-valley-xls.xlsx
ni-assembly-election-2022-result-sheet-fermanagh-south-tyrone-xls.xlsx	2d79ca0a8549e61f01258b230194b612b824c00ef8307f70710ca5970a764c24	52169	Microsoft Excel 2007+	https://www.eoni.org.uk/media/ohlpljon/ni-assembly-election-2022-result-sheet-fermanagh-south-tyrone-xls.xlsx
ni-assembly-election-2022-result-sheet-belfast-east-xls.xlsx	6242f9d6677208bac662595367082668cb445a2f1ab1f525fe77bc784bd4bdeb	58264	Microsoft Excel 2007+	https://www.eoni.org.uk/media/omtlpqow/ni-assembly-election-2022-result-sheet-belfast-east-xls.xlsx
ni-assembly-election-2022-result-sheet-belfast-south-xls.xlsx	36f87463f6e98ec2ac621cdf34120d5e2a046589f89b85edbe3812db333567e5	48548	Microsoft Excel 2007+	https://www.eoni.org.uk/media/pkkjci4k/ni-assembly-election-2022-result-sheet-belfast-south-xls.xlsx
ni-assembly-election-2022-result-sheet-east-antrim.xlsx	2d6d8347f378f56c9711d53dcb94f7075ec162931836652810e033e9dc6849df	47818	Microsoft Excel 2007+	https://www.eoni.org.uk/media/qbyhzdfl/ni-assembly-election-2022-result-sheet-east-antrim.xlsx
ni-assembly-election-results-mid-ulster.xlsx	d4c6310e32c3bce4304eba9805a790733ffada8c13608954f2ff555213ee81b2	52044	Microsoft Excel 2007+	https://www.eoni.org.uk/media/qqblt0jk/ni-assembly-election-results-mid-ulster.xlsx
ni-assembly-election-results-north-down.xlsx	c63cc8c6069367aba257eff8cbbafc2abe5685e9430b180e2b3b1523b9d41e95	52840	Microsoft Excel 2007+	https://www.eoni.org.uk/media/vm5kqxjv/ni-assembly-election-results-north-down.xlsx
ni-assembly-election-2022-result-sheet-foyle-xls.xlsx	9bfd42e73f60f9e8b8b4875300a349f2fb98705ebc898a804ebc1267adad2f6b	57305	Microsoft Excel 2007+	https://www.eoni.org.uk/media/vzoenf3x/ni-assembly-election-2022-result-sheet-foyle-xls.xlsx
ni-assembly-election-2022-result-sheet-south-antrim-xls.xlsx	ad3d44c995e1c4c5759ec6e8a81bfcd0750b7c44adbf4ba2a5b76fb77d615eba	48435	Microsoft Excel 2007+	https://www.eoni.org.uk/media/ye2os1yn/ni-assembly-election-2022-result-sheet-south-antrim-xls.xlsx
