code,pc_code,pc_name,share,split
N20000001,N06000014,South Antrim,0.999864,0
N20000002,N06000014,South Antrim,0.99959,0
N20000003,N06000014,South Antrim,0.999829,0
N20000004,N06000014,South Antrim,0.999816,0
N20000005,N06000014,South Antrim,0.999961,0
N20000006,N06000014,South Antrim,1.0,0
N20000007,N06000014,South Antrim,0.99996,0
N20000008,N06000014,South Antrim,1.0,0
N20000009,N06000014,South Antrim,0.999991,0
N20000010,N06000014,South Antrim,1.0,0
N20000011,N06000014,South Antrim,1.0,0
N20000012,N06000014,South Antrim,1.0,0
N20000013,N06000014,South Antrim,1.0,0
N20000014,N06000014,South Antrim,1.0,0
N20000015,N06000014,South Antrim,0.999975,0
N20000016,N06000014,South Antrim,1.0,0
N20000017,N06000014,South Antrim,1.0,0
N20000018,N06000014,South Antrim,1.0,0
N20000019,N06000014,South Antrim,1.0,0
N20000020,N06000014,South Antrim,1.0,0
N20000021,N06000014,South Antrim,1.0,0
N20000022,N06000014,South Antrim,1.0,0
N20000023,N06000014,South Antrim,1.0,0
N20000024,N06000014,South Antrim,1.0,0
N20000025,N06000014,South Antrim,1.0,0
N20000026,N06000014,South Antrim,1.0,0
N20000027,N06000014,South Antrim,1.0,0
N20000028,N06000014,South Antrim,1.0,0
N20000029,N06000014,South Antrim,1.0,0
N20000030,N06000014,South Antrim,1.0,0
N20000031,N06000014,South Antrim,1.0,0
N20000032,N06000014,South Antrim,1.0,0
N20000033,N06000014,South Antrim,1.0,0
N20000034,N06000014,South Antrim,1.0,0
N20000035,N06000014,South Antrim,1.0,0
N20000036,N06000014,South Antrim,1.0,0
N20000037,N06000014,South Antrim,1.0,0
N20000038,N06000014,South Antrim,1.0,0
N20000039,N06000014,South Antrim,1.0,0
N20000040,N06000014,South Antrim,1.0,0
N20000041,N06000014,South Antrim,1.0,0
N20000042,N06000014,South Antrim,1.0,0
N20000043,N06000014,South Antrim,1.0,0
N20000044,N06000014,South Antrim,1.0,0
N20000045,N06000014,South Antrim,1.0,0
N20000046,N06000014,South Antrim,1.0,0
N20000047,N06000014,South Antrim,1.0,0
N20000048,N06000014,South Antrim,1.0,0
N20000049,N06000014,South Antrim,1.0,0
N20000050,N06000014,South Antrim,1.0,0
N20000051,N06000014,South Antrim,1.0,0
N20000052,N06000014,South Antrim,1.0,0
N20000053,N06000014,South Antrim,1.0,0
N20000054,N06000014,South Antrim,1.0,0
N20000055,N06000014,South Antrim,1.0,0
N20000056,N06000014,South Antrim,1.0,0
N20000057,N06000014,South Antrim,1.0,0
N20000058,N06000014,South Antrim,1.0,0
N20000059,N06000014,South Antrim,1.0,0
N20000060,N06000014,South Antrim,1.0,0
N20000061,N06000014,South Antrim,1.0,0
N20000062,N06000014,South Antrim,1.0,0
N20000063,N06000014,South Antrim,1.0,0
N20000064,N06000014,South Antrim,1.0,0
N20000065,N06000014,South Antrim,1.0,0
N20000066,N06000014,South Antrim,1.0,0
N20000067,N06000014,South Antrim,1.0,0
N20000068,N06000014,South Antrim,1.0,0
N20000069,N06000014,South Antrim,1.0,0
N20000070,N06000014,South Antrim,1.0,0
N20000071,N06000014,South Antrim,1.0,0
N20000072,N06000014,South Antrim,1.0,0
N20000073,N06000014,South Antrim,1.0,0
N20000074,N06000014,South Antrim,1.0,0
N20000075,N06000014,South Antrim,1.0,0
N20000076,N06000014,South Antrim,1.0,0
N20000077,N06000014,South Antrim,1.0,0
N20000078,N06000014,South Antrim,1.0,0
N20000079,N06000014,South Antrim,1.0,0
N20000080,N06000014,South Antrim,1.0,0
N20000081,N06000014,South Antrim,1.0,0
N20000082,N06000014,South Antrim,1.0,0
N20000083,N06000014,South Antrim,1.0,0
N20000084,N06000014,South Antrim,1.0,0
N20000085,N06000014,South Antrim,1.0,0
N20000086,N06000014,South Antrim,0.999531,0
N20000087,N06000014,South Antrim,0.999841,0
N20000088,N06000014,South Antrim,0.999849,0
N20000089,N06000014,South Antrim,0.999823,0
N20000090,N06000014,South Antrim,1.0,0
N20000091,N06000014,South Antrim,1.0,0
N20000092,N06000014,South Antrim,1.0,0
N20000093,N06000014,South Antrim,1.0,0
N20000094,N06000014,South Antrim,1.0,0
N20000095,N06000014,South Antrim,1.0,0
N20000096,N06000014,South Antrim,1.0,0
N20000097,N06000014,South Antrim,1.0,0
N20000098,N06000014,South Antrim,1.0,0
N20000099,N06000014,South Antrim,1.0,0
N20000100,N06000014,South Antrim,0.999846,0
N20000101,N06000014,South Antrim,1.0,0
N20000102,N06000014,South Antrim,1.0,0
N20000103,N06000014,South Antrim,1.0,0
N20000104,N06000014,South Antrim,1.0,0
N20000105,N06000014,South Antrim,1.0,0
N20000106,N06000014,South Antrim,1.0,0
N20000107,N06000014,South Antrim,1.0,0
N20000108,N06000014,South Antrim,1.0,0
N20000109,N06000014,South Antrim,1.0,0
N20000110,N06000014,South Antrim,1.0,0
N20000111,N06000014,South Antrim,1.0,0
N20000112,N06000014,South Antrim,1.0,0
N20000113,N06000014,South Antrim,1.0,0
N20000114,N06000014,South Antrim,1.0,0
N20000115,N06000014,South Antrim,1.0,0
N20000116,N06000014,South Antrim,1.0,0
N20000117,N06000014,South Antrim,1.0,0
N20000118,N06000014,South Antrim,1.0,0
N20000119,N06000014,South Antrim,1.0,0
N20000120,N06000014,South Antrim,1.0,0
N20000121,N06000014,South Antrim,0.999948,0
N20000122,N06000014,South Antrim,1.0,0
N20000123,N06000014,South Antrim,1.0,0
N20000124,N06000014,South Antrim,1.0,0
N20000125,N06000014,South Antrim,0.992419,0
N20000126,N06000005,East Antrim,0.998651,0
N20000127,N06000014,South Antrim,1.0,0
N20000128,N06000005,East Antrim,0.998726,0
N20000129,N06000014,South Antrim,1.0,0
N20000130,N06000014,South Antrim,1.0,0
N20000131,N06000014,South Antrim,1.0,0
N20000132,N06000005,East Antrim,0.973919,0
N20000133,N06000005,East Antrim,0.999891,0
N20000134,N06000005,East Antrim,0.964932,0
N20000135,N06000014,South Antrim,1.0,0
N20000136,N06000014,South Antrim,1.0,0
N20000137,N06000005,East Antrim,0.999887,0
N20000138,N06000005,East Antrim,1.0,0
N20000139,N06000014,South Antrim,0.75953,1
N20000140,N06000005,East Antrim,1.0,0
N20000141,N06000014,South Antrim,1.0,0
N20000142,N06000014,South Antrim,1.0,0
N20000143,N06000005,East Antrim,1.0,0
N20000144,N06000014,South Antrim,1.0,0
N20000145,N06000014,South Antrim,1.0,0
