code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20000001,0.089431,0.804878,0.105691,0.013550,0.109756,0.486450,0.065041,0.018970,0.080510,0.011872,0.010017,0.022261,0.295416,0.310696,0.315789,0.078098,0.613821,0.024390,0.182927,0.009485,0.131436,0.002710,0.013550,0.021680
N20000002,0.036254,0.891239,0.072508,0.012085,0.123867,0.495468,0.096677,0.012085,0.123483,0.021181,0.013520,0.004957,0.261224,0.351020,0.302041,0.085714,0.589820,0.014970,0.155689,0.002994,0.176647,0.002994,0.023952,0.032934
N20000003,0.126374,0.780220,0.093407,0.030220,0.049451,0.489011,0.085165,0.021978,0.086939,0.012821,0.010817,0.024038,0.183267,0.350598,0.310757,0.155378,0.563536,0.082873,0.110497,0.000000,0.179558,0.013812,0.027624,0.022099
N20000004,0.453997,0.467572,0.078431,0.043391,0.063026,0.263636,0.043939,0.004545,0.059691,0.008802,0.007427,0.016504,0.323699,0.314066,0.252408,0.109827,0.358974,0.220211,0.256410,0.018100,0.079940,0.019608,0.022624,0.024133
N20000005,0.066568,0.852071,0.081361,0.029476,0.074623,0.562315,0.094955,0.022255,0.074118,0.012714,0.008115,0.002976,0.266417,0.317073,0.348968,0.067542,0.501479,0.032544,0.218935,0.002959,0.208580,0.004438,0.010355,0.020710
N20000006,0.405172,0.528017,0.066810,0.028828,0.044146,0.301075,0.077419,0.002151,0.066667,0.009831,0.008295,0.018433,0.286104,0.340599,0.277929,0.095368,0.349785,0.233906,0.190987,0.012876,0.152361,0.032189,0.017167,0.010730
N20000007,0.882955,0.105682,0.011364,0.014773,0.010227,0.056818,0.017045,0.000000,0.009694,0.000000,0.000441,0.011456,0.185552,0.301700,0.388102,0.124646,0.109091,0.568182,0.246591,0.001136,0.020455,0.022727,0.017045,0.014773
N20000008,0.548287,0.408100,0.043614,0.024995,0.043193,0.229814,0.062112,0.006211,0.043122,0.006359,0.005365,0.011923,0.247505,0.275449,0.379242,0.097804,0.295950,0.255452,0.286604,0.012461,0.082555,0.037383,0.006231,0.023364
N20000009,0.203008,0.714286,0.082707,0.011465,0.060057,0.437811,0.097015,0.012438,0.069082,0.010187,0.008595,0.019101,0.326154,0.384615,0.249231,0.040000,0.528678,0.119701,0.157107,0.000000,0.147132,0.017456,0.014963,0.014963
N20000010,0.058824,0.841912,0.099265,0.018382,0.130515,0.444853,0.112132,0.022059,0.100179,0.017184,0.010968,0.004022,0.369369,0.286036,0.247748,0.096847,0.552486,0.038674,0.191529,0.007366,0.154696,0.005525,0.025783,0.023941
N20000011,0.238095,0.607619,0.154286,0.013761,0.069596,0.294677,0.148289,0.001901,0.066492,0.012488,0.003713,0.010463,0.059770,0.218391,0.285057,0.436782,0.493333,0.049524,0.146667,0.000000,0.133333,0.001905,0.007619,0.167619
N20000012,0.194831,0.707753,0.097416,0.030475,0.093892,0.342574,0.144554,0.009901,0.083391,0.015662,0.004656,0.013122,0.179641,0.269461,0.344311,0.206587,0.453280,0.071571,0.228628,0.001988,0.127237,0.015905,0.017893,0.083499
N20000013,0.281481,0.590123,0.128395,0.007407,0.064198,0.360494,0.066667,0.012346,0.065869,0.005269,0.010012,0.005269,0.257463,0.246269,0.388060,0.108209,0.523342,0.120393,0.194103,0.002457,0.090909,0.007371,0.027027,0.034398
N20000014,0.365613,0.531621,0.102767,0.023715,0.081028,0.252964,0.081028,0.003953,0.080405,0.015101,0.004490,0.012653,0.227027,0.286486,0.248649,0.237838,0.349802,0.183794,0.239130,0.005929,0.110672,0.017787,0.033597,0.059289
N20000015,0.928328,0.044369,0.027304,0.027304,0.010239,0.013652,0.015358,0.000000,0.002299,0.000000,0.000104,0.002716,0.098398,0.178490,0.274600,0.448513,0.039249,0.598976,0.283276,0.005119,0.006826,0.015358,0.001706,0.049488
N20000016,0.536424,0.337748,0.125828,0.068575,0.045065,0.186253,0.050998,0.011086,0.036671,0.004264,0.003411,0.000000,0.263456,0.351275,0.172805,0.212465,0.254386,0.243421,0.245614,0.004386,0.078947,0.046053,0.008772,0.118421
