code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20000001,0.042247,0.467991,0.093580,0.213510,0.016800,0.142697,0.013727,0.005660,0.003789
N20000002,0.016268,0.496166,0.097690,0.226352,0.007282,0.138392,0.013942,0.002345,0.001564
N20000003,0.041108,0.510847,0.038031,0.220144,0.015259,0.159766,0.005904,0.005401,0.003541
N20000004,0.252616,0.163000,0.238256,0.085968,0.114470,0.045356,0.041325,0.035511,0.023498
N20000005,0.022338,0.487280,0.074909,0.250669,0.008757,0.140176,0.010894,0.002978,0.001999
N20000006,0.221155,0.268104,0.131755,0.138036,0.089159,0.080510,0.022105,0.029641,0.019534
N20000007,0.662973,0.035189,0.021340,0.023393,0.137793,0.010990,0.003875,0.063793,0.040654
N20000008,0.386703,0.146634,0.119247,0.087630,0.121046,0.044386,0.019934,0.044750,0.029670
N20000009,0.058058,0.462971,0.065057,0.226044,0.022219,0.142772,0.010103,0.007689,0.005086
N20000010,0.022738,0.422579,0.196908,0.202058,0.011625,0.108582,0.029715,0.003468,0.002326
N20000011,0.081940,0.505234,0.047635,0.200261,0.022909,0.118523,0.008194,0.009349,0.005955
N20000012,0.065931,0.440970,0.121144,0.201491,0.023483,0.113907,0.019276,0.008309,0.005489
N20000013,0.133600,0.373988,0.098050,0.199926,0.043154,0.109194,0.015447,0.016042,0.010599
N20000014,0.147516,0.267872,0.254770,0.127144,0.060298,0.066509,0.042873,0.019942,0.013075
N20000015,0.684948,0.024523,0.021425,0.015321,0.137096,0.006511,0.004201,0.065318,0.040658
N20000016,0.302585,0.141711,0.198175,0.074215,0.138890,0.031796,0.042143,0.042826,0.027658
N20000017,0.644181,0.033142,0.031126,0.019719,0.150367,0.008474,0.006374,0.065422,0.041196
N20000018,0.554714,0.031902,0.069739,0.020304,0.189528,0.007960,0.014347,0.068034,0.043472
N20000019,0.236446,0.330993,0.101895,0.123628,0.067769,0.075745,0.019645,0.026936,0.016942
N20000020,0.350036,0.191981,0.121295,0.095276,0.105377,0.047644,0.021684,0.040622,0.026086
N20000021,0.484867,0.052145,0.122807,0.033221,0.170832,0.012978,0.024068,0.060249,0.038832
N20000022,0.683282,0.014589,0.007897,0.009452,0.163575,0.004388,0.001754,0.070801,0.044262
N20000023,0.397079,0.105412,0.148470,0.061034,0.149965,0.025851,0.028389,0.050723,0.033077
N20000024,0.664628,0.036601,0.013934,0.022439,0.141953,0.012022,0.002638,0.064605,0.041180
N20000025,0.240738,0.218878,0.176815,0.122082,0.101100,0.054643,0.031253,0.032959,0.021532
N20000026,0.022359,0.465804,0.118990,0.234875,0.010438,0.124756,0.017332,0.003258,0.002188
N20000027,0.193978,0.147238,0.347645,0.074239,0.092650,0.034536,0.063408,0.027974,0.018332
N20000028,0.471781,0.131102,0.045580,0.079797,0.135584,0.039777,0.008472,0.053443,0.034466
N20000029,0.388084,0.130934,0.126141,0.078091,0.139128,0.032597,0.024327,0.049015,0.031684
N20000030,0.036180,0.386535,0.214016,0.202798,0.020470,0.096379,0.033971,0.005778,0.003872
N20000031,0.015069,0.338263,0.340541,0.161826,0.008585,0.079001,0.052662,0.002423,0.001629
N20000032,0.579088,0.029250,0.056855,0.020039,0.183971,0.007797,0.011925,0.067480,0.043596
N20000033,0.678785,0.021972,0.011466,0.015130,0.153083,0.006740,0.002286,0.067521,0.043017
N20000034,0.607538,0.038241,0.041391,0.025739,0.160510,0.010674,0.008338,0.065670,0.041898
N20000035,0.227496,0.220593,0.216661,0.105420,0.090457,0.047203,0.042564,0.030214,0.019393
N20000036,0.297711,0.212920,0.156186,0.090760,0.107142,0.040488,0.033572,0.037498,0.023725
N20000037,0.261241,0.280560,0.144684,0.104916,0.076200,0.053439,0.030278,0.029954,0.018728
N20000038,0.107440,0.174719,0.432697,0.077537,0.061205,0.034380,0.083919,0.017009,0.011093
N20000039,0.172277,0.183063,0.310708,0.093323,0.099688,0.039005,0.056482,0.027403,0.018050
N20000040,0.377776,0.199179,0.097131,0.076881,0.118000,0.035877,0.023333,0.044375,0.027448
N20000041,0.156407,0.303993,0.187783,0.146856,0.068984,0.064437,0.035204,0.022058,0.014277
N20000042,0.100947,0.255443,0.347777,0.098326,0.053471,0.051163,0.067316,0.015563,0.009995
N20000043,0.152117,0.297805,0.218364,0.123120,0.070316,0.058166,0.044206,0.021868,0.014039
N20000044,0.172499,0.275799,0.192705,0.137113,0.084391,0.057354,0.037814,0.025715,0.016610
N20000045,0.281061,0.102697,0.273442,0.058590,0.142143,0.021918,0.051432,0.041442,0.027274
N20000046,0.079093,0.484040,0.078482,0.198749,0.028464,0.100495,0.013980,0.010168,0.006528
N20000047,0.096088,0.335498,0.226881,0.167492,0.038813,0.075113,0.038778,0.012871,0.008464
N20000048,0.275057,0.189729,0.173373,0.099225,0.123893,0.041647,0.032803,0.039005,0.025266
N20000049,0.309796,0.156812,0.203714,0.078813,0.113177,0.033554,0.039223,0.039607,0.025304
N20000050,0.063402,0.423107,0.183256,0.174429,0.026663,0.081768,0.032840,0.008840,0.005695
N20000051,0.464235,0.081075,0.137056,0.039472,0.143872,0.017059,0.028910,0.054053,0.034268
N20000052,0.112669,0.412947,0.127339,0.178307,0.038000,0.085181,0.022350,0.014153,0.009052
N20000053,0.209404,0.201334,0.277993,0.097173,0.078156,0.038893,0.052918,0.026831,0.017298
N20000054,0.083039,0.447494,0.116343,0.195978,0.030380,0.088119,0.021031,0.010695,0.006922
N20000055,0.083798,0.449061,0.124281,0.186143,0.030777,0.085795,0.022283,0.010873,0.006990
N20000056,0.156690,0.329485,0.199693,0.129023,0.052805,0.063967,0.036750,0.019250,0.012336
N20000057,0.224660,0.197811,0.236856,0.104024,0.096212,0.043710,0.045982,0.030713,0.020032
N20000058,0.092190,0.442511,0.128638,0.173969,0.031458,0.090270,0.022085,0.011457,0.007422
N20000059,0.290309,0.109230,0.281459,0.049173,0.125641,0.019693,0.058825,0.040051,0.025618
N20000060,0.164889,0.293884,0.182870,0.157834,0.063305,0.070147,0.031476,0.021511,0.014085
N20000061,0.087975,0.405635,0.172412,0.165639,0.034545,0.083283,0.031117,0.011782,0.007612
N20000062,0.072012,0.494431,0.091698,0.184690,0.025170,0.100801,0.016117,0.009201,0.005879
N20000063,0.216668,0.218859,0.241781,0.093269,0.089311,0.041659,0.050982,0.028879,0.018591
N20000064,0.131961,0.323898,0.185080,0.164744,0.058828,0.071328,0.033268,0.018711,0.012182
N20000065,0.208868,0.218067,0.221492,0.120491,0.092042,0.051676,0.039209,0.029028,0.019125
N20000066,0.274578,0.124703,0.308051,0.057596,0.095451,0.024948,0.058863,0.034002,0.021808
N20000067,0.246018,0.224530,0.216935,0.103004,0.076898,0.044813,0.039822,0.029294,0.018687
N20000068,0.191818,0.350152,0.089890,0.166933,0.064749,0.081133,0.016092,0.023952,0.015282
N20000069,0.148740,0.309944,0.181736,0.165882,0.055600,0.075885,0.030789,0.018906,0.012518
N20000070,0.116339,0.324274,0.191928,0.184066,0.052007,0.071839,0.032322,0.016407,0.010819
N20000071,0.222337,0.212195,0.215016,0.104822,0.107708,0.041488,0.043214,0.032264,0.020956
N20000072,0.078970,0.224026,0.393225,0.116580,0.047276,0.050077,0.068540,0.012786,0.008521
N20000073,0.068828,0.467947,0.096811,0.207021,0.026168,0.102608,0.015596,0.009084,0.005938
N20000074,0.054439,0.509953,0.066483,0.213677,0.019304,0.113188,0.011459,0.006990,0.004506
N20000075,0.130588,0.344986,0.168735,0.163518,0.055366,0.076133,0.030968,0.018021,0.011684
N20000076,0.209183,0.176470,0.291019,0.084242,0.095558,0.036169,0.058679,0.029525,0.019154
N20000077,0.126446,0.377497,0.135568,0.178238,0.047563,0.083669,0.023826,0.016489,0.010704
N20000078,0.108770,0.430906,0.097902,0.193205,0.039257,0.089566,0.017405,0.013945,0.009044
N20000079,0.034315,0.526837,0.069089,0.225827,0.010996,0.115150,0.010860,0.004196,0.002730
N20000080,0.073856,0.334852,0.250386,0.167040,0.037801,0.073244,0.044231,0.011212,0.007378
N20000081,0.100672,0.426050,0.106045,0.196503,0.036389,0.094560,0.018544,0.012896,0.008339
N20000082,0.040883,0.526681,0.067989,0.213642,0.013408,0.118173,0.010868,0.005079,0.003279
N20000083,0.119960,0.399037,0.105947,0.200739,0.037765,0.095389,0.017479,0.014348,0.009337
N20000084,0.167357,0.323707,0.131190,0.171526,0.067961,0.077603,0.023059,0.022806,0.014792
N20000085,0.064591,0.308070,0.297480,0.167256,0.029689,0.067408,0.050154,0.009226,0.006126
N20000086,0.010468,0.427630,0.208453,0.209124,0.005630,0.105563,0.030387,0.001640,0.001105
N20000087,0.015165,0.401334,0.231128,0.191311,0.007891,0.116825,0.032441,0.002328,0.001575
N20000088,0.013399,0.384008,0.280491,0.171019,0.008327,0.097663,0.041315,0.002262,0.001515
N20000089,0.012839,0.414372,0.237791,0.182031,0.007029,0.108470,0.034067,0.002039,0.001362
N20000090,0.016425,0.381582,0.262761,0.191804,0.008795,0.094480,0.039882,0.002553,0.001718
N20000091,0.015201,0.389697,0.264143,0.177952,0.007688,0.103997,0.037489,0.002286,0.001547
N20000092,0.016783,0.419535,0.211421,0.203118,0.008992,0.103342,0.032422,0.002632,0.001754
N20000093,0.019440,0.530509,0.059468,0.252682,0.007108,0.117404,0.009176,0.002551,0.001663
N20000094,0.004640,0.132627,0.668000,0.061103,0.003079,0.034439,0.094774,0.000794,0.000544
N20000095,0.041994,0.527429,0.074717,0.213542,0.014570,0.106309,0.012616,0.005366,0.003456
N20000096,0.021267,0.488074,0.102861,0.238718,0.007929,0.121390,0.015139,0.002773,0.001849
N20000097,0.013412,0.392501,0.254750,0.195063,0.006383,0.097254,0.037351,0.001965,0.001320
N20000098,0.016106,0.500100,0.110829,0.228328,0.006889,0.117276,0.016690,0.002278,0.001504
N20000099,0.023254,0.452179,0.138216,0.233716,0.009951,0.117485,0.019783,0.003235,0.002182
N20000100,0.014784,0.448465,0.154244,0.232070,0.007254,0.117641,0.021852,0.002204,0.001486
N20000101,0.006946,0.379503,0.297934,0.173705,0.003926,0.093340,0.042777,0.001117,0.000753
