code,index
N20000001,1.01009
N20000002,0.99969
N20000003,0.99075
N20000004,1.07468
N20000005,1.02002
N20000006,1.08369
N20000007,1.23032
N20000008,1.13362
N20000009,1.06167
N20000010,0.96897
N20000011,0.85146
N20000012,0.97093
N20000013,1.04763
N20000014,0.97836
N20000015,0.99705
N20000016,1.03196
N20000017,1.09859
N20000018,1.15893
N20000019,0.90526
N20000020,0.96729
N20000021,1.18034
N20000022,1.21354
N20000023,1.07439
N20000024,1.17985
N20000025,1.10904
N20000026,0.99982
N20000027,1.12119
N20000028,1.16282
N20000029,1.09021
N20000030,0.99515
N20000031,0.90941
N20000032,1.23707
N20000033,1.27027
N20000034,1.20708
N20000035,0.99704
N20000036,0.95541
N20000037,0.80670
N20000038,1.07922
N20000039,0.98443
N20000040,0.89671
N20000041,1.05838
N20000042,1.06998
N20000043,1.06594
N20000044,1.06793
N20000045,1.04349
N20000046,0.85845
N20000047,0.98138
N20000048,1.01131
N20000049,0.94008
N20000050,0.77009
N20000051,0.92259
N20000052,0.85655
N20000053,0.86071
N20000054,0.79362
N20000055,0.77009
N20000056,0.78136
N20000057,1.06160
N20000058,0.79957
N20000059,0.85136
N20000060,1.03131
N20000061,0.82361
N20000062,0.77009
N20000063,0.95178
N20000064,1.01546
N20000065,1.04701
N20000066,0.80333
N20000067,0.78138
N20000068,0.81594
N20000069,1.03706
N20000070,1.05552
N20000071,0.93744
N20000072,1.00618
N20000073,0.91678
N20000074,0.85220
N20000075,1.05184
N20000076,1.00466
N20000077,0.87468
N20000078,0.84387
N20000079,0.80381
N20000080,1.01017
N20000081,0.92715
N20000082,0.79216
N20000083,0.94891
N20000084,0.98785
N20000085,1.02947
N20000086,0.95619
N20000087,0.92880
N20000088,0.94733
N20000089,1.00065
N20000090,0.96321
N20000091,0.98194
N20000092,0.97267
N20000093,0.77009
N20000094,0.95127
N20000095,0.77009
N20000096,0.94087
N20000097,0.90907
N20000098,0.90038
N20000099,0.99961
N20000100,1.01521
N20000101,0.93670
N20000102,0.96694
N20000103,0.86486
N20000104,0.77009
N20000105,0.89458
N20000106,0.93148
N20000107,0.86606
N20000108,0.78895
N20000109,0.98559
N20000110,0.94783
N20000111,0.92293
N20000112,0.85817
N20000113,0.91559
N20000114,0.96987
N20000115,0.97418
N20000116,0.94257
N20000117,0.99319
N20000118,0.86417
N20000119,0.92736
N20000120,0.96923
N20000121,0.98822
N20000122,0.99643
N20000123,0.98800
N20000124,0.97999
N20000125,1.00601
N20000126,1.01483
N20000127,0.88753
N20000128,1.03245
N20000129,0.77009
N20000130,0.89332
N20000131,0.81155
N20000132,0.99791
N20000133,1.03178
N20000134,0.99594
N20000135,1.02903
N20000136,0.96165
N20000137,0.97892
N20000138,0.91084
N20000139,0.96652
N20000140,1.00694
N20000141,0.99678
N20000142,0.77009
N20000143,1.03155
N20000144,1.00187
N20000145,0.77009
N20000146,0.77009
N20000147,0.81802
N20000148,1.01294
N20000149,0.97786
N20000150,0.77009
N20000151,0.98115
N20000152,0.99280
N20000153,0.80180
N20000154,0.77407
N20000155,0.77009
N20000156,0.97422
N20000157,0.96470
N20000158,0.96753
N20000159,0.77009
N20000160,1.02026
N20000161,1.01357
N20000162,0.99897
N20000163,0.96956
N20000164,1.04114
N20000165,0.98668
N20000166,1.06554
N20000167,0.98671
N20000168,0.90565
N20000169,0.90389
N20000170,0.88658
N20000171,0.95480
N20000172,1.05088
N20000173,1.11476
N20000174,0.81766
N20000175,0.96192
N20000176,0.96886
N20000177,0.96406
N20000178,0.89004
N20000179,0.92483
N20000180,0.81896
N20000181,0.77266
N20000182,0.77009
N20000183,0.87199
N20000184,0.77009
N20000185,0.88760
N20000186,0.99484
N20000187,0.77009
N20000188,0.97332
N20000189,0.77009
N20000190,0.82239
N20000191,0.87577
N20000192,0.77009
N20000193,0.77009
N20000194,0.77009
N20000195,0.77009
N20000196,0.81583
N20000197,0.78699
N20000198,0.81587
N20000199,0.77009
N20000200,0.83767
N20000201,0.93863
N20000202,0.77009
N20000203,1.03225
N20000204,0.96635
N20000205,0.85840
N20000206,0.94177
N20000207,0.91748
N20000208,0.90058
N20000209,1.05559
N20000210,0.89469
N20000211,1.02096
N20000212,0.77009
N20000213,0.81578
N20000214,0.99433
N20000215,1.02645
N20000216,1.00468
N20000217,1.00908
N20000218,0.94054
N20000219,1.07092
N20000220,1.05860
N20000221,0.98784
N20000222,0.90517
N20000223,1.01592
N20000224,1.05113
N20000225,0.81684
N20000226,1.00661
N20000227,1.05998
N20000228,0.89614
N20000229,0.78682
N20000230,0.99046
N20000231,1.04735
N20000232,1.07845
N20000233,1.07256
N20000234,1.09360
N20000235,1.03540
N20000236,0.93340
N20000237,0.93348
N20000238,1.11032
N20000239,1.08438
N20000240,1.07403
N20000241,0.92845
N20000242,0.91903
N20000243,1.09675
N20000244,1.17843
N20000245,1.15837
N20000246,1.16829
N20000247,1.07979
N20000248,0.90843
N20000249,1.20339
N20000250,1.19789
N20000251,1.18949
N20000252,1.18243
N20000253,1.18139
N20000254,1.21230
N20000255,1.16604
N20000256,1.17001
N20000257,0.99615
N20000258,0.98267
N20000259,0.89690
N20000260,0.97222
N20000261,1.00012
N20000262,0.97635
N20000263,0.98413
N20000264,1.03094
N20000265,1.06283
N20000266,1.00733
N20000267,1.11542
N20000268,1.01294
N20000269,0.97584
N20000270,1.13289
N20000271,1.12421
N20000272,1.15230
N20000273,1.16736
N20000274,1.01124
N20000275,1.13497
N20000276,1.15833
N20000277,1.21820
N20000278,1.01899
N20000279,1.06180
N20000280,1.02185
N20000281,1.01741
N20000282,1.11320
N20000283,1.04881
N20000284,1.10743
N20000285,1.08755
N20000286,1.15215
N20000287,1.20770
N20000288,0.99789
N20000289,0.96110
N20000290,0.92630
N20000291,1.11529
N20000292,1.15249
N20000293,1.12703
N20000294,1.14691
N20000295,1.10491
N20000296,1.07355
N20000297,1.10672
N20000298,1.18023
N20000299,1.14373
N20000300,1.18802
N20000301,1.16260
N20000302,1.12675
N20000303,1.04412
N20000304,0.96777
N20000305,0.97840
N20000306,1.07812
N20000307,1.09658
N20000308,0.94065
N20000309,1.07772
N20000310,1.16625
N20000311,1.15518
N20000312,1.06959
N20000313,0.91062
N20000314,0.89970
N20000315,0.88516
N20000316,0.87380
N20000317,1.03512
N20000318,1.08606
N20000319,0.86844
N20000320,0.80840
N20000321,0.95418
N20000322,0.92016
N20000323,0.95642
N20000324,0.87614
N20000325,1.00997
N20000326,0.77631
N20000327,0.96323
N20000328,0.99868
N20000329,1.10547
N20000330,1.06074
N20000331,1.19784
N20000332,1.11783
N20000333,0.89315
N20000334,1.06098
N20000335,1.17099
N20000336,1.13536
N20000337,1.16992
N20000338,1.05124
N20000339,1.04716
N20000340,1.10697
N20000341,1.11637
N20000342,1.11356
N20000343,1.13116
N20000344,1.12781
N20000345,1.18653
N20000346,1.08521
N20000347,1.15196
N20000348,1.09353
N20000349,1.01261
N20000350,1.00876
N20000351,0.94143
N20000352,0.96904
N20000353,1.16011
N20000354,1.20826
N20000355,1.17736
N20000356,1.04130
N20000357,0.99826
N20000358,1.05018
N20000359,0.92703
N20000360,1.12021
N20000361,1.09682
N20000362,0.93875
N20000363,1.02540
N20000364,1.05248
N20000365,1.01441
N20000366,1.00240
N20000367,1.07991
N20000368,0.87679
N20000369,1.05981
N20000370,1.18178
N20000371,0.95444
N20000372,1.16336
N20000373,1.04233
N20000374,0.97817
N20000375,0.83490
N20000376,0.81474
N20000377,0.89638
N20000378,1.11604
N20000379,0.84252
N20000380,1.06228
N20000381,0.96924
N20000382,0.89560
N20000383,0.99287
N20000384,0.93713
N20000385,0.77009
N20000386,0.87691
N20000387,0.84418
N20000388,0.77330
N20000389,0.86246
N20000390,0.77009
N20000391,0.78369
N20000392,0.80032
N20000393,0.91437
N20000394,0.80889
N20000395,0.81809
N20000396,0.77009
N20000397,0.99481
N20000398,0.82386
N20000399,0.77009
N20000400,0.80635
N20000401,1.16921
N20000402,0.87624
N20000403,0.82223
N20000404,0.88327
N20000405,0.96848
N20000406,0.85861
N20000407,0.91745
N20000408,0.89384
N20000409,0.81206
N20000410,0.81442
N20000411,0.90423
