code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20000001,0.040428,0.419293,0.091909,0.252472,0.011677,0.173158,0.006744,0.001412,0.002906
N20000002,0.017799,0.435109,0.094293,0.276320,0.006089,0.161458,0.006782,0.000712,0.001438
N20000003,0.048332,0.452999,0.037619,0.241892,0.013081,0.197901,0.003114,0.001739,0.003324
N20000004,0.265936,0.142308,0.255854,0.109907,0.116975,0.048671,0.024971,0.012130,0.023247
N20000005,0.026296,0.405845,0.081876,0.313531,0.007879,0.155774,0.005903,0.000943,0.001953
N20000006,0.236391,0.239959,0.131903,0.172989,0.085371,0.092978,0.011995,0.009750,0.018664
N20000007,0.742118,0.025822,0.014573,0.027905,0.122021,0.009971,0.001404,0.020410,0.035776
N20000008,0.412113,0.133253,0.119237,0.124197,0.110223,0.050828,0.010205,0.013376,0.026568
N20000009,0.066047,0.400706,0.063455,0.270267,0.019649,0.167477,0.005139,0.002449,0.004809
N20000010,0.023316,0.373758,0.196121,0.259848,0.010044,0.117850,0.015870,0.001054,0.002138
N20000011,0.096324,0.491774,0.042410,0.216193,0.018309,0.122351,0.004310,0.003053,0.005275
N20000012,0.069869,0.413039,0.113849,0.245169,0.018867,0.122397,0.009783,0.002367,0.004660
N20000013,0.131593,0.332089,0.090895,0.268217,0.030980,0.126340,0.007537,0.004144,0.008206
N20000014,0.164493,0.261841,0.233140,0.166885,0.059080,0.072536,0.022241,0.006878,0.012905
N20000015,0.763081,0.013550,0.012257,0.012858,0.131076,0.003981,0.001377,0.024084,0.037736
N20000016,0.350692,0.105073,0.178843,0.081834,0.179882,0.025426,0.026825,0.018930,0.032496
N20000017,0.713904,0.026416,0.023729,0.023463,0.141281,0.007354,0.003007,0.023004,0.037842
N20000018,0.598371,0.021409,0.052829,0.022646,0.219018,0.005873,0.006783,0.027285,0.045787
N20000019,0.283866,0.326387,0.086209,0.128561,0.059594,0.079421,0.010888,0.009460,0.015614
N20000020,0.419303,0.162533,0.107813,0.108242,0.105520,0.044352,0.011000,0.014997,0.026240
N20000021,0.546630,0.032613,0.098643,0.035801,0.199536,0.009119,0.011596,0.024145,0.041918
N20000022,0.734040,0.009700,0.004907,0.009686,0.168642,0.003587,0.000713,0.026491,0.042233
N20000023,0.427816,0.090858,0.146560,0.081815,0.160365,0.023989,0.017051,0.018257,0.033288
N20000024,0.736143,0.030286,0.010147,0.027176,0.126050,0.012649,0.001065,0.020540,0.035945
N20000025,0.269847,0.179314,0.179436,0.158519,0.108745,0.050900,0.018162,0.012401,0.022676
N20000026,0.021940,0.397803,0.120498,0.306114,0.008156,0.133754,0.008990,0.000895,0.001850
N20000027,0.210997,0.140562,0.338806,0.108897,0.096578,0.037355,0.038206,0.010038,0.018560
N20000028,0.541795,0.095888,0.038226,0.092621,0.136158,0.038199,0.004090,0.019011,0.034011
N20000029,0.447463,0.099258,0.107526,0.095244,0.156775,0.027384,0.012774,0.019407,0.034168
N20000030,0.040133,0.312490,0.246133,0.258536,0.022171,0.092705,0.021477,0.002132,0.004225
N20000031,0.015804,0.326802,0.305845,0.228920,0.008120,0.085257,0.026853,0.000794,0.001604
N20000032,0.623918,0.020503,0.043153,0.024688,0.206954,0.006229,0.005792,0.024789,0.043974
N20000033,0.739543,0.016801,0.008406,0.019363,0.146583,0.006451,0.000969,0.022656,0.039227
N20000034,0.677947,0.022311,0.028026,0.025473,0.169517,0.007402,0.003404,0.024351,0.041569
N20000035,0.267449,0.184875,0.200933,0.139627,0.113984,0.044885,0.020426,0.011088,0.016733
N20000036,0.332277,0.198211,0.140521,0.119189,0.122037,0.038766,0.017075,0.013151,0.018774
N20000037,0.332036,0.246815,0.131054,0.112690,0.086320,0.049066,0.015306,0.011232,0.015482
N20000038,0.114606,0.153660,0.454036,0.107010,0.076145,0.032952,0.046204,0.005984,0.009403
N20000039,0.155569,0.141201,0.379785,0.122995,0.111842,0.033941,0.032560,0.008470,0.013638
N20000040,0.444380,0.168830,0.086447,0.082387,0.135916,0.030190,0.013232,0.016652,0.021965
N20000041,0.178798,0.248964,0.195790,0.194545,0.084021,0.059617,0.018068,0.007929,0.012269
N20000042,0.115214,0.228999,0.363431,0.123211,0.065208,0.052354,0.037395,0.005656,0.008532
N20000043,0.170056,0.267812,0.220697,0.160134,0.080541,0.057206,0.024425,0.007656,0.011473
N20000044,0.187366,0.226834,0.199984,0.186245,0.103513,0.052043,0.020361,0.009394,0.014259
N20000045,0.268031,0.090868,0.292305,0.096112,0.170370,0.021327,0.026214,0.013299,0.021473
N20000046,0.090989,0.436227,0.084560,0.243844,0.029012,0.099850,0.007128,0.003336,0.005055
N20000047,0.110985,0.276787,0.237864,0.229118,0.043625,0.072311,0.018224,0.004181,0.006904
N20000048,0.295870,0.140282,0.195863,0.122437,0.157085,0.034915,0.017610,0.014202,0.021737
N20000049,0.388667,0.106062,0.178187,0.085296,0.159490,0.025234,0.016471,0.016514,0.024079
N20000050,0.080540,0.381692,0.183170,0.218939,0.033182,0.077525,0.016223,0.003488,0.005240
N20000051,0.542784,0.056459,0.101060,0.040875,0.185094,0.012901,0.011130,0.020472,0.029223
N20000052,0.157448,0.357204,0.121951,0.211763,0.049162,0.078103,0.009775,0.005861,0.008734
